taxon,grid,site
Stellaria holostea,J5362,Rainey Island
Lonicera periclymenum,J5362,Rainey Island
Pteridium aquilinum,J5362,Rainey Island
Ficaria verna,J5362,Rainey Island
Conopodium majus,J5362,Rainey Island
Hyacinthoides sp.,J5362,Rainey Island
Anemone nemorosa,J5362,Rainey Island
Oxalis acetosella,J5362,Rainey Island
Rubus fruticosus agg.,J5362,Rainey Island
Galium aparine,J5362,Rainey Island
Rumex sp.,J5362,Rainey Island
Primula vulgaris,J5362,Rainey Island
Urtica dioica,J5362,Rainey Island
Viola riviniana,J5362,Rainey Island
Veronica chamaedrys,J5362,Rainey Island
Heracleum sphondylium,J5362,Rainey Island
Arum maculatum,J5362,Rainey Island
Tripleurospermum maritimum,J531630,Rainey Island
Urtica dioica,J531630,Rainey Island
Lonicera periclymenum,J531630,Rainey Island
Rubus fruticosus agg.,J531630,Rainey Island
Umbilicus rupestris,J531630,Rainey Island
Quercus sp.,J527631,Rainey Island Forest
Acer pseudoplatanus,J527631,Rainey Island Forest
Rubus fruticosus agg.,J527631,Rainey Island Forest
Geum urbanum,J527631,Rainey Island Forest
Hyacinthoides sp.,J527631,Rainey Island Forest
Primula vulgaris,J527631,Rainey Island Forest
Anemone nemorosa,J527631,Rainey Island Forest
Oxalis acetosella,J527631,Rainey Island Forest
Lysimachia nemorum,J527631,Rainey Island Forest
Viola riviniana,J527631,Rainey Island Forest
Ficaria verna,J527631,Rainey Island Forest
Dryopteris sp.,J527631,Rainey Island Forest
Heracleum sphondylium,J527631,Rainey Island Forest
Urtica dioica,J527631,Rainey Island Forest
Arum maculatum,J527631,Rainey Island Forest
Sambucus nigra,J527631,Rainey Island Forest
Fraxinus excelsior,J527631,Rainey Island Forest
Hedera sp.,J527631,Rainey Island Forest
Crataegus monogyna,J527631,Rainey Island Forest
Lotus corniculatus,J530629,Rainey Island
Potentilla sp.,J530629,Rainey Island
Viola riviniana,J530629,Rainey Island
Succisa pratensis,J530629,Rainey Island
Hypochaeris radicata,J530629,Rainey Island
Dactylis glomerata,J530629,Rainey Island
Luzula campestris,J530629,Rainey Island
